SYMBOL,EXCHANGE,SERIES,ISIN,DATE,CMP,OPEN,HIGH,LOW,PREV_CLOSE,CHANGE_PCT,VWAP,VOLUME,TURNOVER,AVG_VOL_20D,VOL_SPIKE_RATIO,DELIV_PER,EMA_50,EMA_200,DIST_FROM_EMA50_PCT,DIST_FROM_EMA200_PCT,EMA_GOLDEN_CROSS,RSI_14,HIGH_52W,LOW_52W,DIST_FROM_52W_HIGH_PCT,DIST_FROM_52W_LOW_PCT,DAYS_OF_HISTORY,RETURN_1D_PCT,RETURN_1W_PCT,RETURN_1M_PCT,RETURN_3M_PCT,RETURN_6M_PCT,RETURN_1Y_PCT,IS_SME
BYKE,NSE,BE,INE319B01014,2026-07-22,32.74,33.77,33.77,32.6,32.51,0.71,33.31,18471,615195.71,28393.0,0.65,,34.71,44.69,-5.67,-26.73,False,41.79,74.77,27.09,-56.21,20.86,215,0.71,-2.21,-7.44,-17.18,-39.12,,False
C2C,NSE,SM,INE0U7V01015,2026-07-22,293.25,250.0,294.95,246.6,268.15,9.36,269.27,1747200,470470012.5,187718.0,9.31,,390.58,476.59,-24.92,-38.47,False,33.86,800.0,268.15,-63.34,9.36,215,9.36,-23.42,-26.49,-32.93,-33.74,,True
CADSYS,NSE,ST,INE090Y01013,2026-07-22,59.2,59.2,59.2,59.2,62.3,-4.98,59.2,500,29600.0,2550.0,0.2,,59.33,58.44,-0.22,1.31,True,41.47,72.0,36.55,-17.78,61.97,135,-4.98,-11.58,-2.63,20.94,-11.51,,True
CALSOFT,NSE,BE,INE526B01014,2026-07-22,22.24,22.99,23.6,22.15,23.03,-3.43,22.84,166940,3813512.29,105112.0,1.59,,21.29,17.8,4.47,24.97,True,50.17,26.59,11.41,-16.36,94.92,215,-3.43,-0.85,-16.36,79.35,48.76,,False
CAMLINFINE,NSE,EQ,INE052I01032,2026-07-22,121.44,123.75,124.37,118.29,123.89,-1.98,121.58,607765,73890886.94,728435.0,0.83,,128.46,145.34,-5.47,-16.45,False,39.39,231.02,96.93,-47.43,25.29,215,-1.98,-2.73,-13.96,17.2,-19.61,,False
CAMPUS,NSE,EQ,INE278Y01022,2026-07-22,221.34,223.2,223.9,218.25,223.18,-0.82,220.7,835491,184391729.47,3186452.0,0.26,,235.11,249.54,-5.86,-11.3,False,38.01,285.4,218.85,-22.45,1.14,215,-0.82,-1.72,-6.43,-12.17,-12.58,,False
CAMS,NSE,EQ,INE596I01020,2026-07-22,773.0,771.05,775.0,761.2,767.25,0.75,770.86,964386,743408577.1,1233533.0,0.78,,778.16,1421.22,-0.66,-45.61,False,49.07,4100.9,622.45,-81.15,24.19,215,0.75,1.07,-5.63,3.25,8.72,,False
CANARYS,NSE,SM,INE0QG301017,2026-07-22,18.65,18.85,19.0,18.55,19.1,-2.36,18.68,68000,1270000.0,84600.0,0.8,,19.76,23.58,-5.61,-20.9,False,43.21,33.45,15.05,-44.25,23.92,213,-2.36,-0.8,-14.45,-10.98,-33.98,,True
CANBK,NSE,EQ,INE476A01022,2026-07-22,126.46,127.5,127.5,125.25,127.52,-0.83,126.36,13596346,1717980036.23,30648347.0,0.44,,130.0,132.57,-2.72,-4.61,False,46.62,158.93,107.14,-20.43,18.03,215,-0.83,-0.01,-6.2,-12.34,-16.17,,False
CANFINHOME,NSE,EQ,INE477A01020,2026-07-22,819.8,833.0,835.5,807.2,832.5,-1.53,822.03,567698,466663020.75,393832.0,1.44,,872.45,854.92,-6.03,-4.11,True,34.95,950.2,740.75,-13.72,10.67,215,-1.53,-9.4,-8.14,-7.48,-8.3,,False
CANHLIFE,NSE,EQ,INE01TY01017,2026-07-22,151.42,154.61,156.82,150.75,154.61,-2.06,153.79,1575165,242240807.74,4404280.0,0.36,,143.41,136.47,5.58,10.96,True,61.3,154.61,108.62,-2.06,39.4,186,-2.06,-1.1,5.61,5.34,6.91,,False
CANTABIL,NSE,EQ,INE068L01024,2026-07-22,248.49,250.01,252.0,246.71,250.96,-0.98,249.09,51880,12922930.83,417765.0,0.12,,242.47,248.8,2.48,-0.13,False,51.39,311.0,210.83,-20.1,17.86,215,-0.98,-3.51,5.6,1.05,-13.91,,False
CAPACITE,NSE,EQ,INE264T01014,2026-07-22,217.05,225.4,225.6,216.0,225.4,-3.7,219.05,298726,65436899.55,659244.0,0.45,,235.18,247.96,-7.71,-12.47,False,37.68,321.15,180.28,-32.41,20.4,215,-3.7,-3.53,-17.29,-14.83,-10.22,,False
CAPILLARY,NSE,EQ,INE0ILV01024,2026-07-22,480.0,476.0,482.1,474.75,478.55,0.3,477.69,12723,6077678.0,137820.0,0.09,,508.69,553.08,-5.64,-13.21,False,30.72,732.15,471.0,-34.44,1.91,163,0.3,-3.4,-3.25,-13.66,-28.39,,False
